btract,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea
3192.0,82623.0,106959.0,104938.0,2021.0,7652.0,8372.0,0.0,57644.0,19802.0,6250.0
3194.0,29343.0,28122.0,27222.0,900.0,2050.0,0.0,0.0,5324.0,19368.0,480.0
3197.0,4500.0,4050.0,4050.0,0.0,0.0,0.0,0.0,4050.0,0.0,0.0
32.0,654738.0,1193395.0,1185795.0,0.0,76679.0,0.0,0.0,366213.0,730560.0,12343.0
320.0,418010.0,554950.0,547980.0,6970.0,76224.0,3156.0,11000.0,71727.0,357043.0,28830.0
3201.0,16406.0,28324.0,28324.0,0.0,7500.0,0.0,0.0,0.0,20824.0,0.0
3203.0,4150.0,6150.0,3500.0,2650.0,0.0,0.0,0.0,3500.0,0.0,0.0
3205.0,22808.0,54521.0,38698.0,0.0,1050.0,0.0,0.0,7750.0,29898.0,0.0
321.0,267318.0,357013.0,357013.0,0.0,0.0,0.0,12730.0,276871.0,67412.0,0.0
3211.0,65346.0,75735.0,74110.0,1625.0,15611.0,0.0,0.0,38074.0,20425.0,0.0
3212.0,13093.0,14060.0,14060.0,0.0,1180.0,0.0,0.0,0.0,12000.0,880.0
3213.0,58431.0,845.0,845.0,0.0,0.0,0.0,0.0,845.0,0.0,0.0
3214.0,58544.0,53613.0,53613.0,0.0,1722.0,1320.0,0.0,17398.0,33173.0,0.0
3215.0,1212.0,1942.0,1181.0,761.0,0.0,0.0,0.0,1181.0,0.0,0.0
3218.0,4396.0,4200.0,4200.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0
322.0,393101.0,643378.0,644658.0,0.0,48762.0,7020.0,14512.0,57949.0,506722.0,9693.0
3220.0,6000.0,12000.0,12000.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0
3221.0,1600.0,1600.0,1600.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0
3222.0,4007.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0
3224.0,8857.0,8400.0,8400.0,0.0,0.0,0.0,0.0,0.0,8400.0,0.0
3226.0,162061.0,317838.0,317838.0,0.0,8637.0,6678.0,0.0,3364.0,299159.0,0.0
3227.0,26088.0,36070.0,36070.0,0.0,0.0,8000.0,0.0,16070.0,9000.0,3000.0
3228.0,35476.0,45332.0,45332.0,0.0,9623.0,1000.0,0.0,11000.0,23709.0,0.0
3229.0,7500.0,7400.0,7400.0,0.0,0.0,0.0,0.0,0.0,7400.0,0.0
3230.0,54002.0,61206.0,61206.0,0.0,800.0,3800.0,0.0,12355.0,44251.0,0.0
3233.0,6950.0,6715.0,6715.0,0.0,0.0,0.0,0.0,0.0,6715.0,0.0
3235.0,12947.0,36984.0,36984.0,0.0,1000.0,0.0,0.0,8300.0,27684.0,0.0
3240.0,2000.0,4400.0,4400.0,0.0,0.0,0.0,0.0,0.0,4400.0,0.0
3241.0,73734.0,108385.0,108385.0,0.0,0.0,4975.0,1740.0,72000.0,29670.0,0.0
3242.0,38036.0,33842.0,33842.0,0.0,812.0,7225.0,0.0,8530.0,17275.0,0.0
3245.0,1510.0,1500.0,1500.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0
3247.0,46912.0,85310.0,85310.0,0.0,880.0,0.0,0.0,61230.0,1620.0,21580.0
3248.0,177691.0,214344.0,212304.0,2040.0,22637.0,3760.0,0.0,85476.0,67231.0,19200.0
3250.0,99887.0,119448.0,119448.0,0.0,15383.0,9321.0,4362.0,9725.0,78457.0,2200.0
3257.0,10000.0,14000.0,14000.0,0.0,0.0,0.0,0.0,0.0,14000.0,0.0
3259.01,2720.0,1600.0,1600.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0
3261.0,24915.0,24915.0,24915.0,0.0,0.0,0.0,9315.0,15600.0,0.0,0.0
3271.0,32894.0,40166.0,34806.0,5360.0,0.0,940.0,0.0,33866.0,0.0,0.0
3276.0,16310.0,15264.0,15264.0,0.0,0.0,3344.0,0.0,6800.0,5120.0,0.0
3279.0,18500.0,24040.0,24040.0,0.0,0.0,0.0,9040.0,0.0,0.0,15000.0
3280.0,51388.0,88788.0,87118.0,1670.0,5800.0,1700.0,0.0,76268.0,0.0,3350.0
3287.0,18500.0,26000.0,26000.0,0.0,0.0,0.0,0.0,26000.0,0.0,0.0
3289.0,4000.0,4000.0,4000.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0
3291.0,43166.0,47820.0,47820.0,0.0,0.0,28320.0,0.0,0.0,19500.0,0.0
3301.0,3610.0,3420.0,3420.0,0.0,0.0,0.0,0.0,3420.0,0.0,0.0
